rk,player,pos,age,team,games,games_started,min_played,made_fg,fg_attempted,fg_perc,made_3p,attempted_3p,perc_3p,made_2p,attempted_2p,perc_2p,effective_fg_perc,made_ft,attempted_ft,ft_perc,off_reb,def_reb,tot_reb,assists,steals,blocks,turnovers,fouls,points,player_additional,year
59,Bogdan Bogdanović,SG,31,ATL,79,33,30.4,6,13.9,0.428,3,8.1,0.374,2.9,5.8,0.503,0.537,1.9,2.1,0.921,0.7,2.8,3.4,3.1,1.2,0.3,1.4,2.3,16.9,bogdabo01,2024
60,Michael Porter Jr.,SF,25,DEN,81,81,31.7,6.4,13.3,0.484,2.7,6.8,0.397,3.7,6.5,0.575,0.586,1.1,1.4,0.836,1.3,5.7,7,1.5,0.5,0.7,1.1,1.8,16.7,portemi01,2024
61,James Harden,PG,34,LAC,72,72,34.3,4.9,11.4,0.428,2.6,6.8,0.381,2.3,4.6,0.497,0.541,4.2,4.8,0.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,1.8,16.6,hardeja01,2024
62,Jarrett Allen,C,25,CLE,77,77,31.7,6.7,10.6,0.634,0,0.1,0,6.7,10.6,0.638,0.634,3,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,allenja01,2024
63,Chet Holmgren,C,21,OKC,82,82,29.4,6.2,11.6,0.53,1.6,4.3,0.37,4.6,7.4,0.623,0.598,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,2.4,16.5,holmgch01,2024
64,Jonathan Kuminga,PF,21,GSW,74,46,26.3,6.2,11.6,0.529,0.7,2.2,0.321,5.4,9.4,0.578,0.56,3,4,0.746,1.2,3.6,4.8,2.2,0.7,0.5,1.6,2.3,16.1,kuminjo01,2024
65,Austin Reaves,SG,25,LAL,82,57,32.1,5.6,11.5,0.486,1.9,5.1,0.367,3.7,6.3,0.583,0.568,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9,reaveau01,2024
66,Keldon Johnson,SF,24,SAS,69,27,29.5,5.7,12.5,0.454,1.8,5.3,0.346,3.8,7.2,0.533,0.527,2.5,3.2,0.792,1.4,4.1,5.5,2.8,0.7,0.3,1.4,2.2,15.7,johnske04,2024
67,Donte DiVincenzo,SG,27,NYK,81,63,29.1,5.5,12.4,0.443,3.5,8.7,0.401,2,3.7,0.542,0.584,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2,15.5,divindo01,2024
68,Jaden Ivey,SG,21,DET,77,61,28.8,5.4,12.6,0.429,1.6,4.8,0.336,3.8,7.8,0.485,0.492,2.9,3.9,0.749,1.1,2.3,3.4,3.8,0.7,0.5,2.5,2.6,15.4,iveyja01,2024
69,Malik Monk,SG,25,SAC,72,0,26,5.5,12.4,0.443,2.1,5.9,0.35,3.4,6.5,0.528,0.526,2.4,2.8,0.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4,monkma01,2024
70,Kelly Oubre Jr.,SF,28,PHI,68,52,30.2,5.7,12.9,0.441,1.5,4.8,0.311,4.2,8.1,0.517,0.498,2.6,3.4,0.75,1.4,3.6,5,1.5,1.1,0.7,1.3,2.9,15.4,oubreke01,2024
71,Keegan Murray,SF,23,SAC,77,77,33.6,5.8,12.7,0.454,2.4,6.6,0.358,3.4,6,0.56,0.548,1.3,1.6,0.831,1.4,4.1,5.5,1.7,1,0.8,0.8,2.7,15.2,murrake02,2024
72,Derrick White,SG,29,BOS,73,73,32.6,5.3,11.5,0.461,2.7,6.8,0.396,2.6,4.7,0.555,0.578,1.9,2.1,0.901,0.7,3.5,4.2,5.2,1,1.2,1.5,2.1,15.2,whitede01,2024
73,John Collins,PF,26,UTA,68,66,28,5.8,11,0.532,1.3,3.4,0.371,4.6,7.6,0.605,0.59,2.2,2.7,0.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8,15.1,collijo01,2024
74,Deni Avdija,SF,23,WAS,75,75,30.1,5.4,10.7,0.506,1.2,3.1,0.374,4.2,7.6,0.56,0.56,2.7,3.6,0.74,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5,14.7,avdijde01,2024
75,Bennedict Mathurin,SF,21,IND,59,19,26.1,5,11.2,0.446,1.4,3.6,0.374,3.7,7.6,0.481,0.507,3.1,3.8,0.821,1,2.9,4,2,0.6,0.2,1.6,2,14.5,mathube01,2024
76,Tim Hardaway Jr.,SF,31,DAL,79,12,26.8,5,12.4,0.402,2.7,7.6,0.353,2.3,4.8,0.478,0.51,1.8,2.1,0.852,0.3,2.9,3.2,1.8,0.5,0.1,0.9,1.3,14.4,hardati02,2024
77,Rudy Gobert,C,31,MIN,76,76,34.1,5.3,8.1,0.661,0,0,0,5.3,8,0.664,0.661,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14,goberru01,2024
78,Scoot Henderson,PG,19,POR,62,32,28.5,5,12.9,0.385,1.4,4.3,0.325,3.5,8.5,0.416,0.44,2.7,3.3,0.819,0.9,2.3,3.1,5.4,0.8,0.2,3.4,3.1,14,hendesc01,2024
79,Caris LeVert,SG,29,CLE,68,10,28.8,5.1,12.1,0.421,1.6,4.9,0.325,3.5,7.2,0.486,0.487,2.3,3,0.766,0.6,3.5,4.1,5.1,1.1,0.5,1.7,1.8,14,leverca01,2024
80,Dennis Schröder,PG,30,TOT,80,58,31.1,5,11.6,0.435,1.7,4.6,0.375,3.3,7,0.474,0.509,2.2,2.7,0.836,0.5,2.5,3,6.1,0.8,0.2,1.9,2.1,14,schrode01,2024
81,Aaron Gordon,PF,28,DEN,73,73,31.5,5.5,9.8,0.556,0.5,1.9,0.29,4.9,7.9,0.619,0.584,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9,gordoaa01,2024
82,Norman Powell,SG,30,LAC,76,3,26.2,4.9,10.1,0.486,2.2,5.1,0.435,2.7,5.1,0.536,0.594,1.9,2.3,0.831,0.2,2.4,2.6,1.1,0.6,0.3,0.9,1.8,13.9,powelno01,2024
83,Jalen Duren,C,20,DET,61,60,29.1,5.7,9.2,0.619,0,0.1,0,5.7,9.2,0.623,0.619,2.3,3,0.79,3.1,8.5,11.6,2.4,0.5,0.8,2.1,3.1,13.8,durenja01,2024
84,Bobby Portis,PF,28,MIL,82,4,24.5,5.7,11.2,0.508,1.2,3,0.407,4.5,8.2,0.545,0.562,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8,portibo01,2024
85,Saddiq Bey,SF,24,ATL,63,51,32.7,4.6,11.1,0.416,1.8,5.7,0.316,2.8,5.4,0.522,0.497,2.7,3.2,0.837,2.7,3.9,6.5,1.5,0.8,0.2,0.9,1.4,13.7,beysa01,2024
86,Jabari Smith Jr.,PF,20,HOU,76,76,31.9,5,11,0.454,1.8,5,0.363,3.2,6,0.53,0.537,2,2.4,0.811,1.8,6.3,8.1,1.6,0.7,0.8,1.2,2.6,13.7,smithja05,2024
87,Gary Trent Jr.,SG,25,TOR,71,41,28.1,5.1,11.9,0.426,2.5,6.4,0.393,2.6,5.5,0.464,0.531,1,1.4,0.771,0.4,2.3,2.6,1.7,1.1,0.1,0.7,1.4,13.7,trentga02,2024
88,Rui Hachimura,PF,25,LAL,68,39,26.9,5.3,9.9,0.537,1.4,3.4,0.422,3.9,6.5,0.597,0.609,1.5,2,0.739,0.9,3.5,4.3,1.2,0.6,0.4,0.7,1.5,13.6,hachiru01,2024
89,Grayson Allen,SG,28,PHO,75,74,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.8,3.2,0.57,0.649,1.7,2,0.878,0.6,3.3,3.9,3,0.9,0.6,1.3,2.1,13.5,allengr01,2024
90,Naz Reid,C,24,MIN,81,14,24.2,5,10.5,0.477,2.1,5,0.414,2.9,5.5,0.535,0.576,1.3,1.8,0.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,2.1,13.5,reidna01,2024
91,Cameron Johnson,PF,27,BRK,58,47,27.6,4.8,10.7,0.446,2.4,6.1,0.391,2.4,4.6,0.519,0.557,1.5,1.9,0.789,0.9,3.4,4.3,2.4,0.8,0.3,1,1.8,13.4,johnsca02,2024
92,Corey Kispert,SF,24,WAS,80,22,25.8,4.8,9.9,0.486,2.3,6,0.383,2.5,3.9,0.643,0.602,1.4,2,0.726,0.4,2.4,2.8,2,0.5,0.2,1.2,1.8,13.4,kispeco01,2024
93,Andrew Wiggins,SF,28,GSW,71,59,27,5,11,0.453,1.3,3.6,0.358,3.7,7.4,0.498,0.511,2,2.7,0.751,1.5,3,4.5,1.7,0.6,0.6,1.2,2.1,13.2,wiggian01,2024
94,Keyonte George,PG,20,UTA,75,44,27,4.3,10.9,0.391,2,5.9,0.334,2.3,5,0.459,0.482,2.5,3,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13,georgke01,2024
95,Duncan Robinson,SF,29,MIA,68,36,28,4.5,9.9,0.45,2.8,7,0.395,1.7,3,0.579,0.589,1.2,1.3,0.889,0.2,2.3,2.5,2.8,0.7,0.2,1.4,2.4,12.9,robindu01,2024
96,P.J. Washington,PF,25,TOT,73,45,30.4,4.8,11.1,0.436,1.8,5.7,0.32,3,5.5,0.558,0.518,1.4,2,0.683,1.2,4.5,5.6,1.9,1,0.8,1.3,2.3,12.9,washipj01,2024
97,Dillon Brooks,SF,28,HOU,72,72,30.9,4.6,10.7,0.428,1.8,5.1,0.359,2.7,5.5,0.492,0.515,1.7,2,0.844,0.7,2.7,3.4,1.7,0.9,0.1,1.2,3.3,12.7,brookdi01,2024
98,Jalen Suggs,SG,22,ORL,75,75,27,4.5,9.5,0.471,2,5.1,0.397,2.4,4.4,0.556,0.578,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,12.6,suggsja01,2024
99,Jrue Holiday,PG,33,BOS,69,69,32.8,4.8,10,0.48,2,4.7,0.429,2.8,5.3,0.526,0.581,0.9,1,0.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,12.5,holidjr01,2024
100,Brook Lopez,C,35,MIL,79,79,30.5,4.6,9.6,0.485,1.9,5.1,0.366,2.8,4.4,0.621,0.583,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1,2.4,12.5,lopezbr01,2024
101,Josh Giddey,SG,21,OKC,80,80,25.1,5,10.6,0.475,1,3,0.337,4,7.6,0.53,0.523,1.3,1.6,0.806,1.4,5,6.4,4.8,0.6,0.6,2.1,1.4,12.3,giddejo01,2024
102,Harrison Barnes,PF,31,SAC,82,82,29,4.2,8.9,0.474,1.8,4.7,0.387,2.4,4.2,0.571,0.576,1.9,2.4,0.801,0.8,2.2,3,1.2,0.7,0.1,0.7,1.2,12.2,barneha02,2024
103,Ayo Dosunmu,SG,24,CHI,76,37,29.1,4.7,9.5,0.501,1.6,3.9,0.403,3.2,5.6,0.568,0.583,1.1,1.4,0.81,0.7,2.1,2.8,3.2,0.9,0.5,1.4,2.2,12.2,dosunay01,2024
104,Aaron Nesmith,SF,24,IND,72,47,27.7,4.4,8.8,0.496,1.9,4.6,0.419,2.4,4.2,0.581,0.606,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,nesmiaa01,2024
105,Max Strus,SF,27,CLE,70,70,32,4.3,10.4,0.418,2.4,6.8,0.351,1.9,3.6,0.546,0.533,1.1,1.4,0.794,0.9,3.9,4.8,4,0.9,0.4,1.6,2.4,12.2,strusma01,2024
106,Jonas Valančiūnas,C,31,NOP,82,82,23.5,4.9,8.8,0.559,0.5,1.5,0.308,4.5,7.3,0.609,0.585,2,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7,12.2,valanjo01,2024
107,Buddy Hield,SF-SG,31,TOT,84,42,25.7,4.4,10.1,0.436,2.6,6.8,0.386,1.8,3.4,0.539,0.565,0.6,0.7,0.881,0.7,2.5,3.2,2.8,0.8,0.5,1.2,2,12.1,hieldbu01,2024
108,Tyus Jones,PG,27,WAS,66,66,29.3,4.9,10.1,0.489,1.6,3.9,0.414,3.3,6.2,0.537,0.569,0.5,0.6,0.8,0.3,2.4,2.7,7.3,1.1,0.3,1,0.7,12,jonesty01,2024
109,Jaime Jaquez Jr.,SF,22,MIA,75,20,28.2,4.5,9.3,0.489,0.9,2.7,0.322,3.7,6.6,0.558,0.536,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1,0.3,1.5,2.2,11.9,jaqueja01,2024
110,Nic Claxton,C,24,BRK,71,71,29.8,5.2,8.2,0.629,0,0.1,0.2,5.1,8.1,0.633,0.63,1.5,2.8,0.551,2.7,7.2,9.9,2.1,0.6,2.1,1.3,2.5,11.8,claxtni01,2024
111,Ivica Zubac,C,26,LAC,68,68,26.4,5,7.6,0.649,0,0,,5,7.6,0.649,0.649,1.8,2.4,0.723,2.9,6.3,9.2,1.4,0.3,1.2,1.2,2.6,11.7,zubaciv01,2024
112,Cole Anthony,PG,23,ORL,81,0,22.4,4.1,9.4,0.435,1.1,3.4,0.338,3,6,0.49,0.496,2.2,2.7,0.826,0.8,3,3.8,2.9,0.8,0.5,1.6,2.2,11.6,anthoco01,2024
113,Jeremy Sochan,PF,20,SAS,74,73,29.6,4.6,10.5,0.438,0.9,3.1,0.308,3.6,7.4,0.492,0.483,1.5,1.9,0.771,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3,11.6,sochaje01,2024
114,Clint Capela,C,29,ATL,73,73,25.8,4.8,8.5,0.571,0,0,0,4.8,8.5,0.572,0.571,1.8,2.8,0.631,4.6,6,10.6,1.2,0.6,1.5,1,2.2,11.5,capelca01,2024
115,Mike Conley,PG,36,MIN,76,76,28.9,3.9,8.5,0.457,2.4,5.3,0.442,1.5,3.1,0.481,0.595,1.3,1.5,0.911,0.5,2.4,2.9,5.9,1.2,0.2,1.3,1.7,11.4,conlemi01,2024
116,Malik Beasley,SG,27,MIL,79,77,29.6,4.1,9.1,0.443,2.8,6.9,0.413,1.2,2.3,0.533,0.598,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.1,0.7,2,11.3,beaslma01,2024
117,Zach Collins,C,26,SAS,69,29,22.1,4.3,8.9,0.484,0.8,2.6,0.32,3.5,6.3,0.552,0.531,1.8,2.3,0.753,1.7,3.7,5.4,2.8,0.5,0.8,1.9,3,11.2,colliza01,2024
118,Russell Westbrook,PG,35,LAC,68,11,22.5,4.4,9.8,0.454,0.6,2.3,0.273,3.8,7.5,0.509,0.486,1.6,2.4,0.688,1.4,3.7,5,4.5,1.1,0.3,2.1,1.8,11.1,westbru01,2024
119,Daniel Gafford,C-PF,25,TOT,74,66,24.5,4.7,6.5,0.725,0,0,,4.7,6.5,0.725,0.725,1.6,2.4,0.674,2.6,5,7.6,1.6,0.9,2.1,1,3.1,11,gaffoda01,2024
120,Eric Gordon,SG,35,PHO,68,24,27.8,4,9.1,0.443,2.2,5.8,0.378,1.8,3.3,0.561,0.565,0.8,0.9,0.797,0.2,1.6,1.8,2,1,0.4,1.1,1.2,11,gordoer01,2024
